Department,Phone Number,Email Address,Working Hours,Site URL
Οικονομικής Επιστήμης,+30 2104 142025; +30 2104 142000,oik-secr@unipi.gr; info_etopa@unipi.gr; njm@unipi.gr; agiaklis@unipi.gr; arghyroum@unipi.gr; avozik@unipi.gr; keleft@unipi.gr; akanas@unipi.gr; sotkar@unipi.gr; kottarid@unipi.gr; economidou@unipi.gr; mpolemis@unipi.gr; yannis@unipi.gr; mraikou@unipi.gr; mchletsos@unipi.gr; psillaki@unipi.gr; pvlamis@unipi.gr; drivas@unipi.gr; akaradi@unipi.gr; mtselek@unipi.gr; hagyropoylos@unipi.gr; ikokores@unipi.gr; ekyrkopoulou@unipi.gr; knkonstantakis@unipi.gr; p.sapouna@unipi.gr; p.chronopoulos@unipi.gr; fotis_d@unipi.gr; ap.gkika@unipi.gr; skyriaz@unipi.gr; kvalaskas@unipi.gr; f.mouzakis@unipi.gr; kkouts@unipi.gr; edaferera@unipi.gr; annak@unipi.gr; fpar@unipi.gr; schinas@unipi.gr; eroditou@unipi.gr; vkatavelis@unipi.gr; strategy@unipi.gr; hem@unipi.gr; contact@msc-econedu.gr; info@bioeconomics.edu.gr; apep@unipi.gr; info@unipi.gr,"Δευτέρα & Τρίτη, 12:00-13:00",https://www.unipi.gr/tmima-oikonomikis-epistimis/
Οργάνωσης & Διοίκησης Επιχειρήσεων,+30 2104 142000,ode-secr@unipi.gr; dntouva@unipi.gr; mreb@unipi.gr; rzabeta@unipi.gr; helenf@unipi.gr; nikichri@unipi.gr; mbasecr@unipi.gr; mbatqadm@unipi.gr; litsanto@unipi.gr; emba@unipi.gr; rouvali@unipi.gr; mcsacc@unipi.gr; partikis@unipi.gr; dgeorg@unipi.gr; ngeorgop@unipi.gr; edidask@unipi.gr; evik@unipi.gr; maravel@unipi.gr; sbersim@unipi.gr; nbouranta@unipi.gr; bohori@unipi.gr; filotheos@unipi.gr; papanast@unipi.gr; arisin@unipi.gr; rector@unipi.gr; mtsogas@unipi.gr; philipas@unipi.gr; pzervopoulos@unipi.gr; vzisis@unipi.gr; dcambis@unipi.gr; clivas@unipi.gr; pchountalas@unipi.gr; kagoraki@unipi.gr; aalexa@unipi.gr; dkossyva@unipi.gr; mkyriakou@unipi.gr; nmpelesis@unipi.gr; askotis@unipi.gr; afouster@unipi.gr; praktiki-ode@unipi.gr; kstav@unipi.gr; mle@unipi.gr; info@unipi.gr,,https://www.unipi.gr/tmima-organosis-kai-dioikisis-epixirisewn/
Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών,,des-secr@unipi.gr,,https://www.des.unipi.gr/el/contact
Τουριστικών Σπουδών,,ts-secr@unipi.gr,Η Γραμματεία του Τμήματος εξυπηρετεί τους προπτυχιακούς φοιτητές κάθε Δευτέρα-Τετάρτη-Παρασκευή από τις 11:30 – 14:00.,http://tourism.unipi.gr/contact/
Ναυτιλιακών Σπουδών,+30 2104 142000,naf-secr@unipi.gr; dionpolemis@unipi.gr; ilagoudis@unipi.gr; apa@unipi.gr; a.artikis@unipi.gr; gtheotokas@unipi.gr; boile@unipi.gr; apallis@unipi.gr; apan@unipi.gr; stratos@unipi.gr; pelagidi@unipi.gr; mariakar@unipi.gr; vcnaoum@unipi.gr; gvaggelas@unipi.gr; galanikat@unipi.gr; kmelas@unipi.gr; pjstav@unipi.gr; vtsioumas@unipi.gr; a.christodoulou@unipi.gr; ngatz@unipi.gr; nafadmin@unipi.gr; port@unipi.gr; dinet@unipi.gr; kgiziak@unipi.gr; mpazarzi@unipi.gr; tselenti@unipi.gr; shipman@unipi.gr; info@unipi.gr,,https://www.unipi.gr/tmima-nautiliakwn-spoudwn/
Βιομηχανικής Διοίκησης,+30 2104 142000,tex-secr@unipi.gr; emiris@unipi.gr; dkara@unipi.gr; kkostop@unipi.gr; smosx@unipi.gr; sidiras@unipi.gr; csiontor@unipi.gr; sofianop@unipi.gr; aflamos@unipi.gr; gregory@unipi.gr; dpsycho@unipi.gr; ggian@unipi.gr; pavlose@unipi.gr; nraxan@unipi.gr; tatiana@unipi.gr; bcanell@unipi.gr; abousdekis@unipi.gr; nchatzi@unipi.gr; texmaster@unipi.gr; info@unipi.gr,,https://www.unipi.gr/tmima-viomixanikis-dioikisis/
Χρηματοοικονομικής,,grad-fin@unipi.gr; xrh-secr@unipi.gr,,https://bankfin.unipi.gr/contact
Στατιστικής,+30 2104 142000,sta-secr@unipi.gr; gverrop@unipi.gr; geh@unipi.gr; npelekis@unipi.gr; kpolitis@unipi.gr; bsevro@unipi.gr; tzafor@unipi.gr; stch@unipi.gr; gpsarr@unipi.gr; dantz@unipi.gr; hevangel@unipi.gr; alex.karagrigoriou@unipi.gr; kofidis@unipi.gr; mbouts@unipi.gr; arakitz@unipi.gr; itriantafyllou@unipi.gr; xatzopoulos@unipi.gr; mandroulakis@unipi.gr; bozikas@unipi.gr; pxenos@unipi.gr; gpapagiannis@unipi.gr; ptinios@unipi.gr; mtafiadi@unipi.gr; davoik@unipi.gr; e.pintelas@unipi.gr; smanol@unipi.gr; gtzivra@unipi.gr; tsilfidou@unipi.gr; antoniak@unipi.gr; ggarantz@unipi.gr; elenidimiri@unipi.gr; aretikon@unipi.gr; eclass@unipi.gr; helpdesk@unipi.gr; apapachristos@unipi.gr; mchouzouris@unipi.gr; gkapoti@unipi.gr; info@unipi.gr,,https://www.unipi.gr/tmima-statistikis-kai-asfalistikis-epistimis/
Πληροφορικής,,bgotsi@unipi.gr; eugenia@unipi.gr; aristeakats@unipi.gr; marygian@unipi.gr; plh-secr@unipi.gr; psp@unipi.gr; infodept@unipi.gr,"Η Γραμματεία του Τμήματος εξυπηρετεί τους προπτυχιακούς φοιτητές κάθε Δευτέρα-Τετάρτη-Παρασκευή, 11:30-14:00.",https://cs.unipi.gr/grammateia/
Ψηφιακών Συστημάτων,,gramds@unipi.gr; panton@unipi.gr; sskountz@unipi.gr; fretzas@unipi.gr; ptheodor@unipi.gr,Η Γραμματεία του Τμήματος εξυπηρετεί τους προπτυχιακούς φοιτητές κάθε Δευτέρα-Τετάρτη-Παρασκευή από τις 11:30 – 14:00.,https://www.ds.unipi.gr/secretary/
